doi,gender,age,smedia_used,freq_usage,freq_post
5/24/2018 3:59:02,Male,24,Facebook,A few times a month,A few times a month
5/24/2018 4:15:47,Male,23,"Twitter, Facebook, Whatsapp",Multiple times a day,Rarely
5/24/2018 4:17:32,Female,19,"Twitter, Instagram, Whatsapp",Multiple times a day,Rarely
5/24/2018 4:25:25,Male,25,"Facebook, Whatsapp",Never,Never
5/24/2018 4:41:11,Female,25,"Twitter, Facebook, Instagram, Whatsapp",A few times a week,Rarely
5/24/2018 10:16:17,Female,23,"Twitter, Facebook, Whatsapp",Multiple times a day,Rarely
5/24/2018 10:30:40,Female,20,"Facebook, Instagram, Whatsapp",Never,Never
5/24/2018 11:27:44,Female,19,"Facebook, Whatsapp",Rarely,Rarely
5/24/2018 11:30:25,Female,20,Whatsapp,Never,Never
5/24/2018 11:34:12,Female,22,"Twitter, Facebook, Whatsapp",A few times a month,Rarely
5/24/2018 11:40:47,Female,22,"Facebook, Instagram, Whatsapp",Never,Never
5/24/2018 11:58:21,Female,21,"Facebook, Whatsapp",Never,Never
5/24/2018 12:01:51,Female,21,"Twitter, Facebook, Instagram, Whatsapp",A few times a week,A few times a week
5/24/2018 12:17:59,Female,20,"Twitter, Facebook, Whatsapp",A few times a week,Never
5/24/2018 12:32:39,Female,21,"Twitter, Facebook, Instagram, Whatsapp",At least once a day,Rarely
5/24/2018 12:33:08,Female,22,"Facebook, Whatsapp",Never,Never
5/24/2018 12:53:13,Female,23,"Facebook, Instagram, Whatsapp",Never,Never
5/24/2018 13:22:05,Female,20,"Facebook, Instagram, Whatsapp",Never,Never
5/24/2018 14:19:06,Female,22,"Twitter, Facebook, Instagram, Whatsapp",A few times a week,A few times a week
5/24/2018 14:20:13,Female,21,Facebook,Never,Never
5/24/2018 14:35:10,Female,21,"Twitter, Facebook, Whatsapp",At least once a day,At least once a day
5/24/2018 14:41:10,Female,21,"Twitter, Instagram, Whatsapp",A few times a week,A few times a week
5/24/2018 15:08:13,Female,21,"Facebook, Whatsapp",Never,Never
5/25/2018 1:13:15,Male,24,"Twitter, Facebook, Whatsapp",Multiple times a day,At least once a day
5/25/2018 1:24:16,Male,28,"Twitter, Facebook, Pinterest, Whatsapp",Multiple times a day,A few times a month
5/25/2018 1:39:55,Female,19,"Twitter, Facebook, Instagram, Whatsapp",Multiple times a day,A few times a week
5/25/2018 1:52:57,Male,23,"Twitter, Facebook, Instagram, Whatsapp",Multiple times a day,Multiple times a day
5/25/2018 2:02:02,Female,26,"Facebook, Whatsapp",At least once a day,A few times a week
5/25/2018 2:09:48,Male,23,"Facebook, Whatsapp",Never,Never
5/25/2018 2:12:26,Male,24,"Twitter, Whatsapp",Multiple times a day,A few times a week
5/25/2018 2:18:37,Female,21,"Facebook, Whatsapp",Rarely,Rarely
5/25/2018 2:26:33,Male,23,"Twitter, Facebook, Whatsapp",A few times a week,Rarely
5/27/2018 11:52:52,Male,21,"Twitter, Facebook, Instagram, Pinterest, Whatsapp",Multiple times a day,At least once a day
5/27/2018 12:15:51,Male,24,"Twitter, Facebook, Instagram, Whatsapp",At least once a day,A few times a month
5/27/2018 13:20:18,Male,21,"Twitter, Facebook, Instagram, Pinterest, Whatsapp, Viber",Multiple times a day,Multiple times a day
5/27/2018 14:13:22,Female,20,"Twitter, Facebook, Instagram, Pinterest, Whatsapp",A few times a week,A few times a month
5/27/2018 14:37:47,Male,21,"Facebook, Whatsapp",Never,Never
5/27/2018 14:57:27,Male,24,"Facebook, Whatsapp",Never,Never
